metric,value,scope,node_type,historical_band,node_id,note
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0008,
degree,1,NODE,PEOPLE,,EP-0009,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0009,
degree,1,NODE,PEOPLE,,EP-0010,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0010,
degree,2,NODE,EVENTS,B6,EV-0001,
betweenness_undirected_projection,14.000000,NODE,EVENTS,B6,EV-0001,
degree,3,NODE,EVENTS,B6,EV-0002,
betweenness_undirected_projection,11.000000,NODE,EVENTS,B6,EV-0002,
degree,3,NODE,EVENTS,B6,EV-0003,
betweenness_undirected_projection,15.000000,NODE,EVENTS,B6,EV-0003,
degree,2,NODE,EVENTS,B6,EV-0004,
betweenness_undirected_projection,1.000000,NODE,EVENTS,B6,EV-0004,
degree,3,NODE,EVENTS,B6,EV-0005,
betweenness_undirected_projection,14.000000,NODE,EVENTS,B6,EV-0005,
degree,1,NODE,EVENTS,B6,EV-0006,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0006,
degree,1,NODE,EVENTS,B6,EV-0007,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0007,
degree,1,NODE,EVENTS,B6,EV-0008,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0008,
degree,3,NODE,EVENTS,B6,EV-0009,
betweenness_undirected_projection,62.000000,NODE,EVENTS,B6,EV-0009,
degree,2,NODE,EVENTS,B6,EV-0010,
betweenness_undirected_projection,8.000000,NODE,EVENTS,B6,EV-0010,
degree,2,NODE,EVENTS,B6,EV-0011,
betweenness_undirected_projection,3.000000,NODE,EVENTS,B6,EV-0011,
degree,1,NODE,EVENTS,B6,EV-0012,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0012,
degree,1,NODE,EVENTS,B6,EV-0013,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0013,
degree,3,NODE,EVENTS,B6,EV-0014,
betweenness_undirected_projection,27.000000,NODE,EVENTS,B6,EV-0014,
degree,2,NODE,EVENTS,B5,EV-0015,
betweenness_undirected_projection,1.000000,NODE,EVENTS,B5,EV-0015,
degree,2,NODE,EVENTS,B6,EV-0016,
betweenness_undirected_projection,6.000000,NODE,EVENTS,B6,EV-0016,
degree,2,NODE,EVENTS,B2,EV-0017,
betweenness_undirected_projection,1.000000,NODE,EVENTS,B2,EV-0017,
degree,1,NODE,EVENTS,B6,EV-0018,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0018,
degree,0,NODE,EVENTS,B6,EV-0019,
betweenness_undirected_projection,0.000000,NODE,EVENTS,B6,EV-0019,
degree,3,NODE,INSTITUTIONS,B1,I-0002,
betweenness_undirected_projection,17.000000,NODE,INSTITUTIONS,B1,I-0002,
degree,4,NODE,INSTITUTIONS,B2,I-0003,
betweenness_undirected_projection,13.000000,NODE,INSTITUTIONS,B2,I-0003,
degree,5,NODE,INSTITUTIONS,B6,I-0010,
betweenness_undirected_projection,19.000000,NODE,INSTITUTIONS,B6,I-0010,
degree,1,NODE,INSTITUTIONS,B6,I-0012,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0012,
degree,0,NODE,INSTITUTIONS,B6,I-0013,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0013,
degree,2,NODE,INSTITUTIONS,B6,I-0014,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0014,
degree,3,NODE,INSTITUTIONS,B6,I-0015,
betweenness_undirected_projection,54.000000,NODE,INSTITUTIONS,B6,I-0015,
degree,1,NODE,INSTITUTIONS,B6,I-0016,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0016,
degree,1,NODE,INSTITUTIONS,B5,I-0020,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B5,I-0020,
degree,1,NODE,INSTITUTIONS,B6,I-0021,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0021,
degree,5,NODE,INSTITUTIONS,B6,I-0022,
betweenness_undirected_projection,73.000000,NODE,INSTITUTIONS,B6,I-0022,
degree,1,NODE,INSTITUTIONS,B6,I-0023,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0023,
degree,1,NODE,INSTITUTIONS,B6,I-0024,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0024,
degree,0,NODE,INSTITUTIONS,B6,I-0025,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0025,
degree,4,NODE,INSTITUTIONS,B6,I-0026,
betweenness_undirected_projection,27.000000,NODE,INSTITUTIONS,B6,I-0026,
degree,1,NODE,INSTITUTIONS,B6,I-0027,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0027,
degree,1,NODE,INSTITUTIONS,B6,I-0028,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0028,
degree,1,NODE,INSTITUTIONS,B5,I-0030,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B5,I-0030,
degree,1,NODE,INSTITUTIONS,B6,I-0031,
betweenness_undirected_projection,0.000000,NODE,INSTITUTIONS,B6,I-0031,
degree,1,NODE,PEOPLE,B1,P-0001,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0001,
degree,0,NODE,PEOPLE,B1,P-0002,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0002,
degree,1,NODE,PEOPLE,B1,P-0003,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0003,
degree,0,NODE,PEOPLE,B1,P-0004,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0004,
degree,1,NODE,PEOPLE,B1,P-0005,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0005,
degree,0,NODE,PEOPLE,B1,P-0006,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0006,
degree,1,NODE,PEOPLE,B2,P-0009,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B2,P-0009,
degree,0,NODE,PEOPLE,B1,P-0010,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0010,
degree,1,NODE,PEOPLE,B1,P-0011,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0011,
degree,1,NODE,PEOPLE,B1,P-0012,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,B1,P-0012,
